,Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year
0,Toyota,Prius,2011,Hatchback,195000.0,1800.0,Hybrid,Automatic,7750.0,11,17727.272727272728
1,Renault,Grand Scenic,2014,Universal,135000.0,1500.0,Diesel,Manual,8550.0,8,16875.0
2,Renault,Laguna,2012,Universal,110000.0,1500.0,Diesel,Manual,6550.0,10,11000.0
3,Opel,Astra,2006,Universal,200000.0,1600.0,Metan/Propan,Manual,4100.0,16,12500.0
4,Mercedes,Vito,2000,Microvan,300000.0,2200.0,Diesel,Manual,3490.0,22,13636.363636363636
5,Volkswagen,Passat,2010,Universal,290000.0,1390.0,Petrol,Manual,5600.0,12,24166.666666666668
6,Volkswagen,Touareg,2010,SUV,220000.0,2400.0,Diesel,Automatic,17000.0,12,18333.33333333333
7,Mercedes,Series (W124),1991,Sedan,240000.0,2300.0,Petrol,Manual,2850.0,31,7741.935483870968
8,BMW,5 Series,2004,Sedan,325000.0,300.0,Diesel,Manual,3400.0,18,18055.555555555555
9,Mercedes,E Class,2010,Sedan,210000.0,2200.0,Diesel,Automatic,11400.0,12,17500.0
10,Mercedes,Rare,2006,Coupe,300000.0,3200.0,Diesel,Automatic,11800.0,16,18750.0
11,BMW,7 Series,1998,Sedan,285000.0,3500.0,Petrol,Manual,3990.0,24,11875.0
12,Volkswagen,Golf,2007,Universal,238371.0,1400.0,Petrol,Automatic,5000.0,15,15891.4
13,Volkswagen,Rare,2010,Hatchback,150000.0,1200.0,Petrol,Manual,5500.0,12,12500.0
14,Volvo,XC60,2012,Crossover,180000.0,2400.0,Diesel,Automatic,15900.0,10,18000.0
15,Nissan,Qashqai,2011,Crossover,251000.0,1500.0,Diesel,Manual,8300.0,11,22818.18181818182
16,Hyundai,Matrix,2005,Universal,383000.0,1500.0,Diesel,Manual,3200.0,17,22529.41176470588
17,Audi,Rare,2009,Hatchback,248000.0,2000.0,Diesel,Automatic,9299.0,13,19076.92307692308
18,Mercedes,E Class,2004,Universal,315000.0,1800.0,Metan/Propan,Manual,6900.0,18,17500.0
19,GAZ,Rare,1992,Sedan,68000.0,2445.0,Petrol,Manual,2222.0,30,2266.6666666666665
20,Renault,Megane,2011,Universal,171000.0,1500.0,Diesel,Manual,5700.0,11,15545.454545454546
21,Rare,Rare,2013,Hatchback,113000.0,367.0,Electric,Automatic,27000.0,9,12555.555555555557
22,Mercedes,E Class,2014,Sedan,275500.0,2200.0,Diesel,Automatic,18350.0,8,34437.5
23,Lincoln,Rare,2017,Sedan,157000.0,1998.0,Hybrid,Automatic,17800.0,5,31400.0
24,Lexus,NX Series,2017,Crossover,76000.0,1998.0,Petrol,Automatic,27999.0,5,15200.0
25,Dodge,Rare,2008,Hatchback,113486.0,1998.0,Metan/Propan,Automatic,4495.0,14,8106.142857142857
26,Audi,100,1993,Sedan,235000.0,2000.0,Petrol,Manual,2950.0,29,8103.448275862069
27,Porsche,Cayenne,2012,Crossover,253444.0,3000.0,Diesel,Automatic,30222.0,10,25344.4
28,Lexus,RX Series,2009,SUV,250000.0,3500.0,Hybrid,Automatic,17990.0,13,19230.76923076923
29,Volkswagen,Passat,2012,Sedan,179000.0,1400.0,Metan/Propan,Automatic,9800.0,10,17900.0
30,BMW,Rare,2015,Crossover,169777.0,2000.0,Diesel,Automatic,16888.0,7,24253.85714285714
31,Mercedes,Rare,2017,Crossover,71333.0,2500.0,Diesel,Automatic,43404.0,5,14266.6
32,Opel,Vectra,1994,Sedan,340000.0,1800.0,Petrol,Manual,1500.0,28,12142.857142857143
33,BMW,7 Series,2007,Sedan,300000.0,3000.0,Diesel,Automatic,11500.0,15,20000.0
34,Volkswagen,Touran,2004,Minivan,280000.0,200.0,Diesel,Automatic,5300.0,18,15555.555555555557
35,Volkswagen,Passat,2010,Universal,228000.0,1400.0,Metan/Propan,Automatic,5700.0,12,19000.0
36,Toyota,Auris,2010,Sedan,185000.0,1400.0,Diesel,Manual,6500.0,12,15416.666666666666
37,Nissan,Qashqai,2009,Hatchback,200415.0,1500.0,Diesel,Manual,6200.0,13,15416.53846153846
38,BMW,3 Series,2016,Minivan,136000.0,2000.0,Diesel,Automatic,13200.0,6,22666.666666666668
39,BMW,5 Series,2003,Sedan,250000.0,3000.0,Petrol,Automatic,7490.0,19,13157.894736842103
40,Dacia,Logan,2014,Sedan,195000.0,1200.0,Metan/Propan,Manual,3999.0,8,24375.0
41,Dacia,Duster,2015,SUV,170000.0,1500.0,Diesel,Manual,8800.0,7,24285.714285714286
42,Volkswagen,Golf,2010,Universal,191500.0,1400.0,Petrol,Manual,5700.0,12,15958.333333333334
43,Volkswagen,Passat,1991,Sedan,292000.0,1800.0,Petrol,Manual,1150.0,31,9419.354838709678
44,BMW,3 Series,2004,Sedan,250000.0,2000.0,Diesel,Manual,4499.0,18,13888.888888888889
45,Nissan,Qashqai,2015,Crossover,158000.0,1500.0,Diesel,Manual,11750.0,7,22571.42857142857
46,Peugeot,Rare,2018,Crossover,132000.0,1500.0,Diesel,Automatic,16500.0,4,33000.0
47,BMW,X5,2005,SUV,260500.0,3000.0,Petrol,Automatic,8999.0,17,15323.529411764706
48,Renault,Megane,2005,Universal,11111.0,1500.0,Diesel,Manual,3200.0,17,653.5882352941177
49,Nissan,Qashqai,2013,SUV,180000.0,1500.0,Diesel,Manual,8999.0,9,20000.0
50,Ford,Transit Connect,2012,Minivan,151658.0,1800.0,Diesel,Manual,3899.0,10,15165.8
51,Renault,Scenic,2015,Microvan,185480.0,1461.0,Diesel,Manual,7550.0,7,26497.14285714286
52,BMW,7 Series,2009,Sedan,215210.0,3000.0,Diesel,Automatic,16500.0,13,16554.615384615383
53,Volkswagen,Polo,2007,Hatchback,305988.0,1400.0,Diesel,Manual,3250.0,15,20399.2
54,BMW,5 Series,2014,Sedan,231250.0,2000.0,Diesel,Automatic,18000.0,8,28906.25
55,Vaz,2121niva,2004,Minivan,12000.0,1700.0,Petrol,Manual,1800.0,18,666.6666666666666
56,BMW,5 Series,1998,Sedan,11111.0,2500.0,Petrol,Manual,3200.0,24,462.9583333333333
57,Nissan,Rare,2014,Hatchback,87100.0,1200.0,Petrol,Manual,7950.0,8,10887.5
58,Toyota,Avensis,2000,Sedan,420000.0,1600.0,Metan/Propan,Manual,2999.0,22,19090.90909090909
59,Honda,CR-V,2002,Universal,275100.0,2000.0,Petrol,Manual,5900.0,20,13755.0
60,BMW,5 Series,2015,Sedan,180236.0,2000.0,Diesel,Automatic,21500.0,7,25748.0
61,Honda,CR-V,2010,Crossover,183000.0,2200.0,Diesel,Manual,12999.0,12,15250.0
62,Nissan,Rare,2011,Hatchback,195000.0,1500.0,Diesel,Manual,5250.0,11,17727.272727272728
63,Volkswagen,Passat,1993,Universal,311254.0,2000.0,Metan/Propan,Manual,29000.0,29,10732.896551724138
64,Opel,Astra,2010,Hatchback,190000.0,1300.0,Diesel,Manual,6500.0,12,15833.333333333334
65,Skoda,Rapid,2016,Universal,116000.0,1598.0,Petrol,Automatic,10300.0,6,19333.33333333333
66,Volkswagen,Sharan,2006,Minivan,250000.0,2000.0,Diesel,Manual,6900.0,16,15625.0
67,Nissan,Qashqai,2015,Crossover,149000.0,1200.0,Petrol,Automatic,12500.0,7,21285.714285714286
68,Skoda,Superb,2016,Sedan,170000.0,2000.0,Diesel,Automatic,17490.0,6,28333.33333333333
69,Toyota,Land Cruiser,2001,SUV,250000.0,4700.0,Metan/Propan,Automatic,9990.0,21,11904.761904761905
70,Toyota,Corolla,2006,Universal,256000.0,1400.0,Diesel,Manual,5490.0,16,16000.0
71,Mazda,Rare,2002,SUV,255000.0,2000.0,Petrol,Manual,3990.0,20,12750.0
72,Chevrolet,Rare,2011,Hatchback,190000.0,1400.0,Plug-in Hybrid,Automatic,9150.0,11,17272.727272727272
73,Mercedes,Rare,2019,Crossover,24000.0,3000.0,Petrol,Automatic,51000.0,3,8000.0
74,Volkswagen,Passat,2002,Universal,270000.0,1800.0,Petrol,Manual,2550.0,20,13500.0
75,Volkswagen,Touareg,2010,SUV,235000.0,3000.0,Diesel,Automatic,20950.0,12,19583.33333333333
76,BMW,5 Series,2000,Sedan,254604.0,2500.0,Petrol,Manual,4500.0,22,11572.90909090909
77,Renault,Megane,2009,Universal,165000.0,1500.0,Diesel,Manual,4999.0,13,12692.307692307691
78,Toyota,C-HR,2017,Crossover,115000.0,1800.0,Hybrid,Automatic,17999.0,5,23000.0
79,BMW,7 Series,1998,Sedan,350000.0,3500.0,Petrol,Manual,3990.0,24,14583.333333333334
80,Mercedes,E Class,2012,Sedan,150000.0,2500.0,Diesel,Automatic,14490.0,10,15000.0
81,Audi,Rare,2018,Hatchback,31091.0,3000.0,Petrol,Automatic,35500.0,4,7772.75
82,Renault,Clio,2006,Hatchback,280000.0,1461.0,Diesel,Manual,4299.0,16,17500.0
83,Citroen,C3,2012,Hatchback,145000.0,1400.0,Diesel,Automatic,6899.0,10,14500.0
84,Audi,A6,1997,Sedan,29800.0,2400.0,Metan/Propan,Manual,2750.0,25,1192.0
85,Ford,Fusion,2013,Sedan,178000.0,2000.0,Hybrid,Automatic,9290.0,9,19777.777777777777
86,Toyota,Prius,2014,Sedan,140000.0,800.0,Plug-in Hybrid,Automatic,11200.0,8,17500.0
87,Volkswagen,Vento,1993,Sedan,300000.0,1800.0,Petrol,Manual,1700.0,29,10344.827586206897
88,Renault,Rare,2017,Crossover,129000.0,1500.0,Diesel,Automatic,10990.0,5,25800.0
89,Lexus,CT Series,2012,Hatchback,193000.0,1800.0,Hybrid,Automatic,10950.0,10,19300.0
90,Volvo,XC60,2010,SUV,202000.0,2400.0,Diesel,Automatic,14750.0,12,16833.333333333332
91,Dacia,Rare,2013,Minivan,209000.0,1500.0,Diesel,Manual,5750.0,9,23222.222222222223
92,Hyundai,Rare,2010,Hatchback,145000.0,1400.0,Petrol,Manual,4750.0,12,12083.333333333334
93,Lexus,CT Series,2012,Hatchback,194000.0,1800.0,Hybrid,Automatic,9999.0,10,19400.0
94,Volvo,XC90,2008,SUV,249000.0,2400.0,Diesel,Manual,11500.0,14,17785.714285714286
95,Hyundai,Getz,2008,Hatchback,142000.0,1100.0,Petrol,Manual,3499.0,14,10142.857142857143
96,Mercedes,A Class,2005,Hatchback,260000.0,1500.0,Metan/Propan,Automatic,4750.0,17,15294.117647058823
97,Mercedes,C Class,2002,Coupe,240000.0,2300.0,Petrol,Manual,3499.0,20,12000.0
98,Jaguar,Rare,2012,Sedan,120000.0,2200.0,Diesel,Automatic,15999.0,10,12000.0
99,Mercedes,E Class,2010,Sedan,182000.0,1800.0,Petrol,Automatic,11750.0,12,15166.666666666666
100,Skoda,Octavia,2005,Universal,300000.0,2000.0,Petrol,Manual,4999.0,17,17647.058823529413
